,PHOT,WTOF,WTON,HROR
2015-01-08 00:00:00+00:00,0,0.306225047,0.419361903,0.285089637
2015-01-08 01:00:00+00:00,0,0.30590745,0.436573558,0.284816353
2015-01-08 02:00:00+00:00,0,0.304443239,0.444420429,0.284761697
2015-01-08 03:00:00+00:00,0,0.303122616,0.447105777,0.28487101
2015-01-08 04:00:00+00:00,0,0.30509829,0.446813424,0.282247486
2015-01-08 05:00:00+00:00,0,0.305640702,0.467521876,0.281810232
2015-01-08 06:00:00+00:00,0,0.305753131,0.482308939,0.282356799
2015-01-08 07:00:00+00:00,0.001528276,0.307011668,0.480209148,0.284597726
2015-01-08 08:00:00+00:00,0.01196474,0.302110251,0.483749568,0.285472234
2015-01-08 09:00:00+00:00,0.029023566,0.303082354,0.48271757,0.285636205
2015-01-08 10:00:00+00:00,0.046605036,0.300330742,0.477647216,0.282794053
2015-01-08 11:00:00+00:00,0.055278261,0.271802839,0.461057363,0.28454307
2015-01-08 12:00:00+00:00,0.04563265,0.258172441,0.445563011,0.285964145
2015-01-08 13:00:00+00:00,0.027849981,0.247837453,0.443874408,0.287221251
2015-01-08 14:00:00+00:00,0.011093018,0.243231076,0.427278598,0.28705728
2015-01-08 15:00:00+00:00,0.001555026,0.275987035,0.446718817,0.287603848
2015-01-08 16:00:00+00:00,0,0.301866679,0.45340085,0.288205072
2015-01-08 17:00:00+00:00,0,0.301979353,0.489109049,0.288478356
2015-01-08 18:00:00+00:00,0,0.30094725,0.533535988,0.287494534
2015-01-08 19:00:00+00:00,0,0.301775425,0.573677552,0.287275907
2015-01-08 20:00:00+00:00,0,0.302889641,0.606310368,0.286510713
2015-01-08 21:00:00+00:00,0,0.302716071,0.609664148,0.285690861
2015-01-08 22:00:00+00:00,0,0.30139816,0.613017865,0.28689331
2015-01-08 23:00:00+00:00,0,0.297792044,0.601534164,0.288423699
2015-01-09 00:00:00+00:00,0,0.302338526,0.59581311,0.288587669
2015-01-09 01:00:00+00:00,0,0.304739181,0.605955719,0.287166594
2015-01-09 02:00:00+00:00,0,0.304565505,0.638455998,0.285362921
2015-01-09 03:00:00+00:00,0,0.29995982,0.674870077,0.285472234
